,0,1,2,3,4
356,2019-03-11,1292.71500,XAU,USD,41.56174807449198
357,2019-03-10,1297.37500,XAU,USD,41.7115705380877
358,2019-03-09,1298.45500,XAU,USD,41.74629334080945
359,2019-03-08,1298.45500,XAU,USD,41.74629334080945
360,2019-03-07,1286.06500,XAU,USD,41.347945631807114
361,2019-03-06,1287.25000,XAU,USD,41.38604426257126
362,2019-03-05,1288.14000,XAU,USD,41.41465842407345
363,2019-03-04,1287.07500,XAU,USD,41.38041788250061
364,2019-03-03,1295.30500,XAU,USD,41.64501849953767
365,2019-03-02,1293.64000,XAU,USD,41.59148751200831
366,2019-03-01,1293.64000,XAU,USD,41.59148751200831
367,2019-02-28,1314.17500,XAU,USD,42.25170302487052
368,2019-02-27,1321.13500,XAU,USD,42.47547219796627
369,2019-02-26,1329.42500,XAU,USD,42.742001859598986
370,2019-02-25,1327.56000,XAU,USD,42.682040723417444
371,2019-02-24,1327.73500,XAU,USD,42.687667103488096
372,2019-02-23,1327.78500,XAU,USD,42.68927464065114
373,2019-02-22,1327.78500,XAU,USD,42.68927464065114
374,2019-02-21,1325.96500,XAU,USD,42.63076028791633
375,2019-02-20,1340.71500,XAU,USD,43.10498375101435
376,2019-02-19,1339.64500,XAU,USD,43.07058245572521
377,2019-02-18,1326.50500,XAU,USD,42.64812168927722
378,2019-02-17,1321.29500,XAU,USD,42.48061631688802
379,2019-02-16,1321.70000,XAU,USD,42.49363736790867
380,2019-02-15,1321.70000,XAU,USD,42.49363736790867
381,2019-02-14,1312.02500,XAU,USD,42.182578926859634
382,2019-02-13,1307.74500,XAU,USD,42.04497374570305
383,2019-02-12,1310.16500,XAU,USD,42.122778544394386
384,2019-02-11,1307.75500,XAU,USD,42.04529525313566
385,2019-02-10,1313.66500,XAU,USD,42.23530614580748
386,2019-02-09,1314.21000,XAU,USD,42.25282830088466
387,2019-02-08,1314.21000,XAU,USD,42.25282830088466
388,2019-02-07,1310.49000,XAU,USD,42.13322753595418
389,2019-02-06,1306.70000,XAU,USD,42.01137621899543
390,2019-02-05,1315.05000,XAU,USD,42.279834925223795
391,2019-02-04,1311.79500,XAU,USD,42.17518425590963
392,2019-02-03,1317.25500,XAU,USD,42.35072731411405
393,2019-02-02,1317.91500,XAU,USD,42.37194680466623
394,2019-02-01,1317.91500,XAU,USD,42.37194680466623
395,2019-01-31,1321.11000,XAU,USD,42.47466842938474
396,2019-01-30,1319.31500,XAU,USD,42.416957845231465
397,2019-01-29,1310.88000,XAU,USD,42.145766325825925
398,2019-01-28,1304.03000,XAU,USD,41.92553373448887
399,2019-01-27,1300.09500,XAU,USD,41.7990205597573
400,2019-01-26,1303.01000,XAU,USD,41.89273997636277
401,2019-01-25,1303.01000,XAU,USD,41.89273997636277
402,2019-01-24,1281.41500,XAU,USD,41.19844467564401
403,2019-01-23,1283.79000,XAU,USD,41.274802690888606
404,2019-01-22,1284.62500,XAU,USD,41.30164856151144
405,2019-01-21,1279.79000,XAU,USD,41.14619971784507
